id;mark;
A00147;SCAR, ARM, RIGHT - 2\";
A00147;SCAR, WRIST, RIGHT - 1\";
A00147;TATTOO, ARM, LEFT - 1111;
A00220;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A00220;SCAR, CHEST - SCAR CHEST;
A00360;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A00360;TATTOO, SHOULDER, LEFT - ROSE;
A00367;SCAR, FOREHEAD - GLASS CUT;
A01054;SCAR, ARM, RIGHT - SCAR ARM, RIGHT;
A01054;SCAR, HAND, RIGHT - SCAR HAND, RIGHT;
A01054;SCAR, LEG, LEFT - SCAR LEG, LEFT;
A01072;SCAR, WRIST, LEFT - SCAR;
A01077;TATTOO, ARM, LEFT - TATTOO ARM, LEFT;
A01148;SCAR, LEG, LEFT -;
A01148;TATTOO, ARM, LEFT UPPER - RON & PAMELA;
A01148;SCAR, BACK -;
A01148;SCAR, ELBOW, RIGHT -;
A01148;SCAR, ARM, RIGHT -;
A01157;SCAR, FOREHEAD - SCAR FOREHEAD;
A01181;SCAR, LEG, LEFT -;
A01181;TATTOO, CHEST - PYRAMID;
A01181;TATTOO, FOREARM, LEFT - \"CAPRICE\";
A01237;SCAR, ELBOW, LEFT -;
A01237;SCAR, ELBOW, RIGHT -;
A01258;NONE RECORDED;
A01285;NONE RECORDED;
A01349;NONE RECORDED;
A01356;TATTOO, FOREARM, LEFT - DRAGON;
A01356;TATTOO, FOREARM, RIGHT - SCORPION;
A01365;SCAR, ABDOMEN - SCAR ON ABDOMEN;
A01365;SCAR, CHEST - SCAR CHEST;
A01365;TATTOO, FOREARM, LEFT - B.J.;
A01365;MISSING LEG, RIGHT - MISSING LEG, RIGHT;
A01399;MEDICAL CONDITION - ACNE - ACNE FACE;
A01399;TATTOO, ARM, LEFT - TATTOO ARM, LEFT;
A01399;TATTOO, ARM, RIGHT - TATTOO ARM, RIGHT;
A01411;MEDICAL CONDITION - ACNE - ACNE FACE;
A01411;MEDICAL CONDITION - ACNE - ACNE BODY;
A01411;TATTOO, ARM, LEFT - CARROT;
A01411;TATTOO, ARM, RIGHT - ROSE/REBA GREY;
A01422;SCAR, ARM, RIGHT - SCAR ARM, RIGHT;
A01422;SCAR, CHEEK (FACE), LEFT - SCAR CHEEK, LEFT;
A01457;SCAR, CHEST -;
A01457;SCAR, CHIN -;
A01457;SCAR, ARM, LEFT - ANNIE;
A01457;TATTOO, CHEST - 2-TOMBSTONES, ETERNITY, LARRY;
A01467;NONE RECORDED;
A01531;NONE RECORDED;
A01615;NONE RECORDED;
A01676;NONE RECORDED;
A01680;SCAR, FOREHEAD - SCAR FOREHEAD;
A01680;SCAR, NOSE - SCAR NOSE;
A01680;SCAR, WRIST, LEFT - SCAR WRIST, LEFT;
A01680;SCAR, ELBOW, LEFT - SCAR ELBOW, LEFT;
A01681;NONE RECORDED;
A01694;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A01694;SCAR, HAND, RIGHT - SCAR HAND, RIGHT;
A01729;SCAR, ARM, LEFT -;
A01729;SCAR, ARM, RIGHT -;
A01729;TATTOO, FOREARM, LEFT - HEART,ARROW;
A01729;TATTOO, ARM, RIGHT UPPER - \"HILL\";
A01736;MOLE, NECK - MOLE NECK;
A01736;TATTOO, ARM, RIGHT - FADDED OUT-PYRAMID;
A01736;TATTOO, ARM, LEFT - MUSHAMBY;
A01736;GLASSES (PRESCRIPTION) -;
A01759;TATTOO, ARM, LEFT - PYRAMID, BPSN, 1/2 SUN;
A01796;TATTOO, ARM, RIGHT UPPER - 2DICE (5,2);
A01796;TATTOO, ARM, LEFT UPPER - \"JMC\"/\"PRETY BOY\"/\"TINO\";
A01796;SCAR, HAND, LEFT - ALSO L ARM;
A01796;TATTOO, FOREARM, LEFT - CARTOON CHARACTER/HORNS;
A01796;TATTOO, FOREARM, RIGHT - \"LOVE\"/2HEARTS/\"DONNA\";
A01806;NONE RECORDED;
A01815;NONE RECORDED;
A01824;NONE RECORDED;
A01834;TATTOO, ARM, LEFT - \"WILLIE\";
A01834;TATTOO, FOREARM, RIGHT - LORIS SWORD;
A01834;SCAR, CHEST - SCAR CHEST;
A01860;SCAR, KNEE, RIGHT -;
A01860;SCAR, CHEST -;
A01860;SCAR, KNEE, LEFT -;
A01889;TATTOO, ARM, LEFT - FRISCO;
A01906;TATTOO, CHEST - HEART/\"MARY\"/PYRAMID,EM,BRS;
A01906;TATTOO, CHEEK (FACE), RIGHT - HEART, BACK\;GUNSHOT WOUND;
A01906;SCAR, FINGER(S), RIGHT HAND - BURN SCARS ON MID. & RING FNGRS;
A01906;TATTOO, FOREARM, LEFT - \"$\"/BANNER;
A01906;TATTOO, ARM, RIGHT UPPER - HEART/SPIDER WEB/\"LYNN\";
A01909;SCAR, ABDOMEN - 10\";
A01909;SCAR, ELBOW, LEFT - 1\";
A01909;SCAR, CHEST - 2\";
A01929;DISCOLORATION, EYEBROW/EYE, R - MARK EYEBROW, RIGHT;
A01939;TATTOO, CHEST - \"TALC\";
A01939;GLASSES (PRESCRIPTION) -;
A01950;SCAR, FOREHEAD - SCAR FOREHEAD;
A01950;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A01958;TATTOO, FOREARM, LEFT - HEART,BULL HORNS,\"TAURUS\";
A01958;SCAR, FOREHEAD - SCAR FOREHEAD;
A01958;TATTOO, FOREARM, RIGHT - \"PAUL\";
